﻿Title:,"Table 5 - Finances and people"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 5
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2016/17 
Search:,


"UKPRN","HE provider","Total income (£)","Teaching income (£)","Research income (£)","Other non-residential income (£)","Non-residential income total (£)","Total expenditure (£)"
"10004048","London Metropolitan University","102,078,000","92,712,000","2,019,000","7,316,000","102,047,000","106,029,000"
"10004078","London South Bank University","144,479,000","122,193,000","4,860,000","5,710,000","132,763,000","142,637,000"
"10004063","London School of Economics and Political Science","353,071,000","207,001,000","50,734,000","57,697,000","315,432,000","317,627,000"
"10007771","London School of Hygiene and Tropical Medicine","178,467,000","24,413,000","140,328,000","13,371,000","178,112,000","177,519,000"
"10004113","Loughborough University","300,814,000","171,624,000","61,355,000","23,365,000","256,344,000","280,286,000"
"10004180","The Manchester Metropolitan University","312,651,000","264,353,000","14,325,000","12,549,000","291,227,000","305,846,000"
"10007798","The University of Manchester","1,008,996,000","514,157,000","331,022,000","109,600,000","954,779,000","980,474,000"
"10004351","Middlesex University","198,117,000","165,277,000","9,994,000","17,370,000","192,641,000","189,271,000"
"10007799","Newcastle University","487,879,000","270,959,000","141,660,000","54,652,000","467,271,000","468,918,000"
"10007138","The University of Northampton","131,867,000","109,458,000","2,180,000","7,147,000","118,785,000","124,493,000"
"10001282","University of Northumbria at Newcastle","248,291,000","200,956,000","12,497,000","19,602,000","233,055,000","243,739,000"
"10004775","Norwich University of the Arts","22,665,000","20,531,000","191,000","1,218,000","21,940,000","16,719,000"
"10007154","University of Nottingham","646,166,000","350,202,000","172,906,000","78,921,000","602,029,000","620,785,000"
