﻿Title:,"Table 16 - HE qualifiers by HE provider and level of qualification obtained"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 16
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","Doctorate research","Other postgraduate research","Master's taught","Postgraduate Certificate in Education","Other postgraduate taught","Total postgraduate","First degree","Foundation degree","HNC/HND","Professional Graduate Certificate in Education","Other undergraduate","Total undergraduate","Total"
"10007138","The University of Northampton","30","0","570","120","425","1,145","2,670","170","25","0","295","3,165","4,310"
"10009614","Grŵp NPTC Group","0","0","0","0","0","0","0","0","60","0","0","60","60"
"10004740","Northern College of Acupuncture","0","0","5","0","0","5","20","0","0","0","0","20","25"
"10001282","University of Northumbria at Newcastle","150","0","1,790","190","650","2,780","5,290","0","0","35","845","6,170","8,945"
"10004775","Norwich University of the Arts","5","0","65","0","10","80","610","0","0","0","50","660","740"
"10007154","University of Nottingham","780","90","3,235","220","535","4,860","7,070","0","0","5","460","7,535","12,395"
"10004797","The Nottingham Trent University","100","0","2,085","140","705","3,035","6,305","270","10","90","665","7,340","10,375"
"10010227","Oak Hill College","0","0","10","0","0","10","20","5","0","0","0","25","35"
"10007773","The Open University","80","0","1,315","0","640","2,040","8,525","320","0","0","2,590","11,430","13,470"
"10023445","ICOM","0","0","0","0","0","0","10","0","0","0","0","10","10"
"10004930","Oxford Brookes University","65","10","1,190","150","595","2,010","3,345","290","0","15","445","4,100","6,110"
"10020439","Oxford Business College","0","0","0","0","25","25","0","0","15","0","0","15","40"
"10007774","The University of Oxford","1,245","65","3,165","150","460","5,085","3,270","0","0","10","170","3,450","8,540"
"10006243","St Patrick's International College","0","0","0","0","0","0","0","0","475","0","0","475","475"
"10005127","Arts University Plymouth","0","0","30","0","0","30","355","0","0","0","10","360","395"
"10007801","University of Plymouth","135","20","845","115","345","1,465","4,865","5","0","110","640","5,620","7,085"
"10019178","Point Blank Music School","0","0","0","0","0","0","75","0","0","0","40","115","115"
"10007155","The University of Portsmouth","135","0","1,795","150","200","2,275","5,560","55","20","10","380","6,020","8,295"
"10005337","Queen Margaret University, Edinburgh","20","0","300","0","205","530","740","0","0","0","115","855","1,380"
"10007775","Queen Mary University of London","315","5","3,610","0","655","4,585","3,695","0","0","0","195","3,890","8,475"
"10005544","Royal Academy of Dance","0","0","5","20","0","20","30","0","0","0","5","35","55"
"10005389","Ravensbourne University London","0","0","40","0","0","40","595","10","0","0","15","620","660"
"10005470","Richmond, The American International University in London","0","0","30","0","0","30","195","0","0","0","0","195","225"
"10007802","The University of Reading","305","30","1,865","310","450","2,955","3,465","60","0","65","95","3,685","6,640"
"10003331","Regent's University London","0","0","345","0","60","410","500","0","0","0","35","535","945"
"10021100","Regents Theological College","0","0","20","0","5","25","25","0","0","0","15","40","65"
"10008455","Regent College London","0","0","0","0","0","0","0","0","460","0","0","460","460"
"10005500","Robert Gordon University","25","5","680","0","380","1,090","2,305","0","0","0","250","2,555","3,645"
"10007776","Roehampton University","55","0","505","250","60","875","1,990","50","0","0","25","2,065","2,940"
"10005523","Rose Bruford College of Theatre and Performance","0","0","10","0","15","25","180","0","0","0","5","185","210"
"10007835","Royal Academy of Music","5","0","210","0","20","235","115","0","0","0","15","130","365"
"10005545","Royal Agricultural University","5","5","90","0","0","95","300","80","0","0","15","395","495"
"10007777","Royal College of Art","25","5","925","0","5","960","0","0","0","0","45","45","1,005"
"10007778","Royal College of Music","10","0","155","0","35","200","95","0","0","0","10","105","300"
"10005561","Royal Conservatoire of Scotland","0","0","150","0","20","170","240","0","0","0","20","260","430"
"10007816","The Royal Central School of Speech and Drama","5","0","275","0","5","290","215","0","0","0","15","230","520"
"10005553","Royal Holloway and Bedford New College","180","55","1,055","0","255","1,545","2,275","0","0","0","90","2,365","3,910"
"10007837","Royal Northern College of Music","5","0","100","0","30","135","170","0","0","0","25","190","325"
"10007779","The Royal Veterinary College","20","5","65","0","65","155","430","55","0","0","20","505","665"
"10007803","The University of St. Andrews","250","20","940","0","35","1,250","1,760","0","0","0","205","1,965","3,210"
"10007839","SAE Education Limited","0","0","0","0","0","0","245","0","0","0","20","265","270"
"10007782","St George's, University of London","30","10","145","0","100","285","830","80","0","0","80","990","1,275"
"10008026","St Mary's University College","0","0","20","20","0","45","235","0","0","0","0","235","280"
"10007843","St Mary's University, Twickenham","5","0","335","335","0","675","1,015","85","0","30","125","1,255","1,930"
"10007156","The University of Salford","155","20","1,475","0","360","2,010","3,860","120","45","0","315","4,340","6,350"
"10021256","The Salvation Army","0","0","0","0","0","0","0","0","0","0","15","15","15"
