﻿Title:,"Table 5 - Finances and people"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 5
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2015/16 
Search:,


"UKPRN","HE provider","Total income (£)","Teaching income (£)","Research income (£)","Other non-residential income (£)","Non-residential income total (£)","Total expenditure (£)"
"10014001","University of Suffolk","37,384,000","34,891,000","214,000","2,133,000","37,238,000","37,661,000"
"10007159","The University of Sunderland","128,288,000","112,171,000","3,028,000","8,568,000","123,767,000","127,983,000"
"10007160","The University of Surrey","259,490,000","144,548,000","53,533,000","30,637,000","228,718,000","256,693,000"
"10007806","The University of Sussex","260,666,000","161,864,000","49,677,000","16,687,000","228,228,000","244,455,000"
"10007855","Swansea University","296,292,000","149,086,000","58,034,000","73,188,000","280,308,000","244,419,000"
"10007161","Teesside University","130,105,000","108,406,000","4,372,000","12,433,000","125,211,000","126,174,000"
"10008017","Trinity Laban Conservatoire of Music and Dance","24,125,000","17,538,000","331,000","4,403,000","22,272,000","24,083,000"
"10007858","University of Wales Trinity Saint David","104,650,000","82,028,000","648,000","15,394,000","98,070,000","108,388,000"
"10007114","University of the Highlands and Islands","103,899,000","83,619,000","15,683,000","4,535,000","103,837,000","102,231,000"
"10007807","Ulster University","187,981,000","134,918,000","36,769,000","13,965,000","185,652,000","191,532,000"
"10007784","University College London","1,358,996,000","483,880,000","661,934,000","169,767,000","1,315,581,000","1,236,024,000"
"10007793","University of South Wales","190,907,000","156,490,000","5,154,000","20,760,000","182,404,000","182,429,000"
"10007163","The University of Warwick","573,589,000","298,265,000","151,954,000","81,223,000","531,442,000","517,654,000"
"10007164","University of the West of England, Bristol","258,308,000","200,548,000","17,343,000","20,706,000","238,597,000","238,036,000"
"10007800","The University of the West of Scotland","107,190,000","92,232,000","6,532,000","3,882,000","102,646,000","111,123,000"
"10006566","The University of West London","87,184,000","73,397,000","1,377,000","9,168,000","83,942,000","77,749,000"
"10007165","The University of Westminster","205,102,000","174,713,000","8,555,000","11,132,000","194,400,000","193,009,000"
"10003614","The University of Winchester","70,379,000","56,027,000","1,191,000","1,867,000","59,085,000","67,164,000"
"10007166","The University of Wolverhampton","187,069,000","144,544,000","4,299,000","30,082,000","178,925,000","167,739,000"
"10007139","University of Worcester","91,585,000","77,009,000","1,957,000","3,779,000","82,745,000","84,374,000"
"10007833","Wrexham University","39,453,000","30,641,000","1,223,000","5,311,000","37,175,000","38,586,000"
"10007657","Writtle University College","17,359,000","13,522,000","67,000","1,487,000","15,076,000","17,155,000"
"10007713","York St John University","58,684,000","47,575,000","817,000","2,303,000","50,695,000","58,277,000"
"10007167","The University of York","332,746,000","173,032,000","87,320,000","31,790,000","292,142,000","330,250,000"
