﻿Title:,"Table 3 - Emissions and waste"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 3
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-3
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-3.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2015/16 
Search:,


"UKPRN","HE provider","Total scope 1 and 2 carbon emissions (Kg CO2e)","Total volume of wastewater (m3)","Total scope 3 carbon emissions from waste (tonnes CO2e)","Total scope 3 carbon emissions from water supply (tonnes CO2e)","Total scope 3 carbon emissions from wastewater treatment (tonnes CO2e)","Total waste mass (tonnes)"
"10007806","The University of Sussex","17,955,232.738","688,359.550","24,104.503","249.259","488.012","1,688.880"
"10007855","Swansea University","17,602,509.439","265,633.000","","96.186","188.270","1,743.774"
"10007161","Teesside University","7,585,901.010","60,299.000","0.000","20.743","42.784","534.135"
"10008017","Trinity Laban Conservatoire of Music and Dance","1,363,839.943","11,711.076","278.349","4.332","8.291","278.349"
"10007858","University of Wales Trinity Saint David","6,693,130.361","51,908.000","71,500.000","18.796","38.490","546.730"
"10007114","University of the Highlands and Islands","","35,040.000","0.000","","24.808",""
"10007807","Ulster University","12,964,484.853","73,894.800","","26.757","57.329","659.960"
"10007784","University College London","66,780,500.368","393,645.390","100.030","175.498","278.701","5,628.784"
"10007793","University of South Wales","11,573,839.963","126,976.800","94,441.680","46.326","89.900","1,506.640"
"10007163","The University of Warwick","41,019,551.000","565,022.440","0.000","194.368","407.768","2,914.410"
"10007164","University of the West of England, Bristol","14,565,321.541","309,934.090","68.800","112.228","219.433","1,510.108"
"10007800","The University of the West of Scotland","7,606,524.922","68,024.250","10.120","24.031","48.161","393.914"
"10006566","The University of West London","3,531,402.078","26,371.230","9.140","9.549","18.671","589.752"
"10007165","The University of Westminster","11,306,976.561","151,440.700","21.386","52.096","108.291","1,040.330"
"10003614","The University of Winchester","3,032,484.000","64,749.000","9.091","23.834","45.842","626.180"
"10007166","The University of Wolverhampton","11,875,778.936","127,338.000","2,147.493","43.804","90.155","2,138.225"
"10007139","University of Worcester","4,343,598.000","51,041.000","17.290","17.558","40.096","796.636"
"10007833","Wrexham University","3,391,140.595","23,487.800","","8.505","16.629","226.519"
"10007657","Writtle University College","1,788,042.996","19,876.000","","9.496","14.426","1,055.996"
"10007713","York St John University","3,518,230.779","57,774.000","13.280","24.969","40.907","632.380"
"10007167","The University of York","22,139,213.870","270,354.800","42.429","97.897","191.411","1,986.019"
