﻿Title:,"Table 8 - Expenditure - breakdown by HE provider, activity, HESA cost centre and academic year"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT031 Table 8
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Search by HE provider
,Country of HE provider,All 
,Region of HE provider,All 
,HESA cost centre group,Total expenditure 
,HESA cost centre,Total expenditure 
,Academic year,2019/20 
,Financial Year End,All 
Search:,


"","","","","Activity (£000s)",""
"UKPRN","HE Provider","Financial Year End","Academic staff costs","Other staff costs","Total staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10004351","Middlesex University","2020-07-31","70,801","50,674","121,475","0","75,320","13,035","6,994","216,824"
"10032277","The Minster Centre","2019-12-31","623","345","968","0","527","16","0","1,511"
"10004450","Mountview Academy of Theatre Arts","2019-08-31","1,967","2,233","4,200","0","2,872","427","878","8,377"
"10023777","Mont Rose College of Management and Sciences","2019-08-31","1,475","823","2,298","0","2,931","215","0","5,444"
"10023454","Moorlands College","2020-06-30","839","502","1,341","0","717","125","0","2,183"
"10000216","All Nations Christian College","2019-08-31","393","457","850","0","593","110","0","1,553"
"10053304","Navitas UK Holdings Limited","2020-06-30","4,210","8,925","13,135","0","24,000","271","-38","37,368"
"10004538","Nazarene Theological College","2020-06-30","421","367","788","0","597","29","12","1,426"
"10030129","Nelson College London Ltd","2020-07-31","283","1,574","1,857","0","4,254","125","33","6,269"
"10007799","Newcastle University","2020-07-31","151,387","118,505","269,892","0","176,942","31,593","7,541","485,968"
"10045289","St Nicholas Montessori Training Limited","2019-08-31","543","186","729","0","1,021","3","0","1,753"
"10067406","New Model Institute for Technology and Engineering (NMITE)","2020-07-31","1,297","1,069","2,366","0","3,231","107","2","5,706"
"10048199","Northeastern University London","2020-06-30","1,988","2,206","4,194","0","5,581","17","5","9,797"
"10008397","Norland College","2020-07-31","677","1,914","2,591","0","1,502","319","5","4,417"
"10007138","The University of Northampton","2020-07-31","35,949","32,009","67,958","0","44,630","16,993","11,579","141,160"
"10004740","Northern College of Acupuncture","2020-06-30","357","287","644","0","429","3","0","1,076"
"10001282","University of Northumbria at Newcastle","2020-07-31","98,677","63,484","162,161","0","82,258","20,847","6,033","271,299"
"10004775","Norwich University of the Arts","2020-07-31","6,005","6,493","12,498","0","6,855","1,175","262","20,790"
"10007154","University of Nottingham","2020-07-31","144,444","159,086","303,530","13,865","243,503","48,261","7,346","616,505"
"10004797","The Nottingham Trent University","2020-07-31","103,435","104,772","208,207","0","92,634","22,700","8,938","332,479"
