﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Entrant marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","England","Scotland","Wales","Northern Ireland","Other UK","Total UK","European Union","Non-European Union","Total Non-UK","Not known","Total"
"10004538","Nazarene Theological College","130","25","0","5","0","160","0","5","5","0","165"
"10030129","Nelson College London Ltd","1,020","0","5","0","0","1,025","0","0","0","0","1,025"
"10023456","Newbold College","55","0","0","0","0","55","30","15","50","0","105"
"10007799","Newcastle University","19,025","465","230","540","70","20,335","1,425","5,455","6,880","0","27,215"
"10045289","St Nicholas Montessori Training Limited","45","0","0","0","0","45","0","0","0","0","50"
"10048199","Northeastern University London","110","0","0","0","0","110","60","25","85","0","195"
"10008397","Norland College","250","10","5","0","5","270","10","5","10","0","280"
"10007138","The University of Northampton","10,155","35","95","40","10","10,330","405","1,350","1,755","0","12,085"
"10009614","Grŵp NPTC Group","0","0","160","0","0","165","0","0","0","0","165"
"10004740","Northern College of Acupuncture","145","10","0","0","0","155","0","0","0","0","155"
"10001282","University of Northumbria at Newcastle","21,330","225","100","630","60","22,350","1,000","3,100","4,100","0","26,450"
"10004775","Norwich University of the Arts","2,095","5","10","15","10","2,135","80","90","170","0","2,305"
"10007154","University of Nottingham","24,655","100","435","145","35","25,370","1,545","6,630","8,175","0","33,540"
"10004797","The Nottingham Trent University","27,885","75","315","125","75","28,475","1,010","3,770","4,780","0","33,255"
"10010227","Oak Hill College","125","0","0","0","0","130","0","0","5","0","130"
"10007773","The Open University","92,635","16,825","8,625","3,950","10","122,040","215","105","320","0","122,360"
"10023445","ICOM","45","0","0","0","0","45","0","5","5","0","50"
"10004930","Oxford Brookes University","13,400","95","330","45","55","13,920","900","1,845","2,745","0","16,665"
"10020439","Oxford Business College","60","0","0","0","0","60","5","15","15","0","75"
"10007774","The University of Oxford","15,890","410","405","150","40","16,890","2,630","5,870","8,500","0","25,390"
"10006243","St Patrick's International College","2,850","0","0","0","0","2,850","0","0","0","0","2,850"
"10005127","Arts University Plymouth","1,265","0","50","20","5","1,340","30","15","40","0","1,380"
